"","genus","species","MFG","genspp","source"
"6510","Chlorella","","9b-SmallChlor","Chlorella sp.","Salmaso & Padisak 2007"
"4081","Pteromonas","","3a-UnicPhyto","Pteromonas","Tolotti et al. 2010"
"4511","Tetrachlorella","","9b-SmallChlor","Tetrachlorella","Tolotti et al. 2010"
"2162","2","cell","NA","2 cell","description"
"1100","Acanthoceras","zachariasii","6a2-LUniCent","Acanthoceras zachariasii","Salmaso Geisha Powell Center Workshop"
"1","Acanthosphaera","","9b-SmallChlor","Acanthosphaera","Salmaso Geisha Powell Center Workshop"
"499","Achnanthes","","7b-SmallPenn","Achnanthes","Salmaso & Padisak 2007"
"6610","Achnanthes","exigua","7b-SmallPenn","Achnanthes exigua","Salmaso & Padisak 2007"
"6710","Achnanthes","lanceolata","7b-SmallPenn","Achnanthes lanceolata","Salmaso & Padisak 2007"
"6810","Achnanthes","minutissima","7b-SmallPenn","Achnanthes minutissima","Salmaso & Padisak 2007"
"3641","Achnanthes","","7b-SmallPenn","Achnanthes","Li et al. 2018"
"2","Achnanthidium","catenatum","6b1-LColPenn","Achnanthidium catenatum","Salmaso Geisha Powell Center Workshop"
"378","Achnanthidium","minutissimum","7b-SmallPenn","Achnanthidium minutissimum","Salmaso Geisha Powell Center Workshop"
"4701","Achnanthidium","minutissimum complex","7b-SmallPenn","Achnanthidium minutissimum complex","Salmaso Geisha Powell Center Workshop"
"1103","Achnanthidium","","7b-SmallPenn","Achnanthidium","Rimet et al. 2018"
"2102","Achnanthidium","exiguum","7b-SmallPenn","Achnanthidium exiguum","Rimet et al. 2018"
"323","Achroonema","articulatum","5a-FilaCyano","Achroonema articulatum","Rimet et al. 2018"
"571","Actinastrum","hantzschii","1a-LargeChry","Actinastrum hantzschii","Salmaso Geisha Powell Center Workshop"
"572","Actinastrum","","1a-LargeChry","Actinastrum","Salmaso Geisha Powell Center Workshop"
"3451","Actinastrum","","1b-LargeDino","Actinastrum","Li et al. 2018"
"4561","Actinastrum","","1a-LargeChry","Actinastrum","Tolotti et al. 2010"
"514","Actinocyclus","","6a2-LUniCent","Actinocyclus","Salmaso Geisha Powell Center Workshop"
"5","Actinotaenium","cruciferum","9a-SmallConj","Actinotaenium cruciferum","Algaebase"
"6","Actinotaenium","","9a-SmallConj","Actinotaenium","Algaebase"
"541","Acutodesmus","acuminatus","9b-SmallChlor","Acutodesmus acuminatus","Li et al. 2018"
"3051","Acutodesmus","dimorphus","1a-LargeChry","Acutodesmus dimorphus","Li et al. 2018"
"7","Amphidinium","","2b-SmallDino","Amphidinium","Phytopedia"
"8","Amphikrikos","minutissimus","9b-SmallChlor","Amphikrikos minutissimus","Algaebase"
"9","Amphikrikos","","9b-SmallChlor","Amphikrikos","Algaebase"
"10","Amphipleura","pellucida","6b2-LUniPenn","Amphipleura pellucida","Western Diatoms of North America"
"7010","Amphora","ovalis","6b","Amphora ovalis","Salmaso & Padisak 2007"
"7110","Amphora","ovalis pediculus","6b","Amphora ovalis pediculus","Salmaso & Padisak 2007"
"7210","Amphora","pediculus","6b","Amphora pediculus","Salmaso & Padisak 2007"
"4401","Amphora","inariensis","7b-SmallPenn","Amphora inariensis","Tolotti et al. 2010"
"410","Amphora","","6b2-LUniPenn","Amphora","Rimet et al. 2018"
"515","Amphora","copulata","6b2-LUniPenn","Amphora copulata","Rimet et al. 2018"
"415","Anabaena","","5e-Nostocales","Anabaena","Salmaso & Padisak 2007"
"4311","Anabaena","lemmermannii","5e","Anabaena lemmermannii","Salmaso & Padisak 2007"
"7310","Anabaena","circinalis","5e","Anabaena circinalis","Salmaso & Padisak 2007"
"7510","Anabaena","mendotae","5e","Anabaena mendotae","Salmaso & Padisak 2007"
"767","Anabaena","","5e","Anabaena","Salmaso & Padisak 2007"
"2931","Anabaena","","5e-Nostocales","Anabaena","Li et al. 2018"
"4181","Anabaena","","5a-FilaCyano","Anabaena","Tolotti et al. 2010"
"4741","Anabaena","","5e-Nostocales","Anabaena","Salmaso Geisha Powell Center Workshop"
"810","Anabaenopsis","","5e-Nostocales","Anabaenopsis","Salmaso Geisha Powell Center Workshop"
"6102","Anagnostidinema","acutissimum","5a-FilaCyano","Anagnostidinema acutissimum","Rimet et al. 2018"
"768","Anagnostidinema","amphibium","5a-FilaCyano","Anagnostidinema amphibium","Rimet et al. 2018"
"814","Anathece","bachmannii","5c-OtherChroo","Anathece bachmannii","Rimet et al. 2018"
"914","Anathece","clathrata","5c-OtherChroo","Anathece clathrata","Rimet et al. 2018"
"1014","Anathece","smithii","5c-OtherChroo","Anathece smithii","Rimet et al. 2018"
"197","Ankistrodesmus","","1a-LargeChry","Ankistrodesmus","Salmaso Geisha Powell Center Workshop"
"543","Ankistrodesmus","falcatus","9b-SmallChlor","Ankistrodesmus falcatus","Salmaso Geisha Powell Center Workshop"
"772","Ankistrodesmus","arcuatus","9b-SmallChlor","Ankistrodesmus arcuatus","Salmaso & Padisak 2007"
"3061","Ankistrodesmus","","1a-LargeChry","Ankistrodesmus","Li et al. 2018"
"544","Ankyra","ancora","9b-SmallChlor","Ankyra ancora","Salmaso Geisha Powell Center Workshop"
"546","Ankyra","","9b-SmallChlor","Ankyra","Salmaso Geisha Powell Center Workshop"
"6110","Ankyra","judayi","9b-SmallChlor","Ankyra judayi","Salmaso & Padisak 2007"
"782","Ankyra","","9b-SmallChlor","Ankyra","Salmaso & Padisak 2007"
"1113","Anomoeoneis","","6b2-LUniPenn","Anomoeoneis","Western Diatoms of North America"
"1210","Aphanizomenon","","5e-Nostocales","Aphanizomenon","Salmaso Geisha Powell Center Workshop"
"792","Aphanizomenon","flos-aquae","5e","Aphanizomenon flos-aquae","Salmaso & Padisak 2007"
"4781","Aphanizomenon","issatschenkoi =","5e-Nostocales","Aphanizomenon issatschenkoi =","Salmaso Geisha Powell Center Workshop"
"1310","Aphanocapsa","","5c-OtherChroo","Aphanocapsa","Salmaso Geisha Powell Center Workshop"
"802","Aphanocapsa","grevillei","5c-OtherChroo","Aphanocapsa grevillei","Salmaso & Padisak 2007"
"398","Aphanothece","","5c-OtherChroo","Aphanothece","Salmaso Geisha Powell Center Workshop"
"4011","Aphanothece","","5c-OtherChroo","Aphanothece","Salmaso & Padisak 2007"
"1214","Aphanothecoidea","","5d-SmallChroo","Aphanothecoidea","Rimet et al. 2018"
"1314","Apiocystis","","3b-ColoPhyto","Apiocystis","Algaebase"
"1414","Apocalathium","aciculiferum","1b-LargeDino","Apocalathium aciculiferum","Rimet et al. 2018"
"813","Apodococcus","guanensis","9b-SmallChlor","Apodococcus guanensis","Salmaso & Padisak 2007"
"1510","Arthrodesmus","","8a-LargeCoCh","Arthrodesmus","Salmaso Geisha Powell Center Workshop"
"1610","Arthrospira","","5a-FilaCyano","Arthrospira","Salmaso Geisha Powell Center Workshop"
"1710","Astasia","","1c-LargeEugl","Astasia","Salmaso Geisha Powell Center Workshop"
"438","Asterionella","ralfsii","6b1-LColPenn","Asterionella ralfsii","Salmaso Geisha Powell Center Workshop"
"1810","Asterionella","formosa","6b1-LColPenn","Asterionella formosa","Salmaso Geisha Powell Center Workshop"
"4811","Asterionella","formosa","6b","Asterionella formosa","Salmaso & Padisak 2007"
"3781","Asterionella","formosa","6b1-LColPenn","Asterionella formosa","Li et al. 2018"
"4241","Asterionella","formosa","6b-LargePenn","Asterionella formosa","Tolotti et al. 2010"
"4851","Asterionella","formosa complex","6b1-LColPenn","Asterionella formosa complex","Salmaso Geisha Powell Center Workshop"
"1513","Asterococcus","","1b-LargeDino","Asterococcus","Algaebase"
"430","Attheya","zachariasii","6a2-LUniCent","Attheya zachariasii","Algaebase"
"428","Aulacoseira","","6a1-LColCent","Aulacoseira","Salmaso Geisha Powell Center Workshop"
"4411","Aulacoseira","granulata","6a","Aulacoseira granulata","Salmaso & Padisak 2007"
"4510","Aulacoseira","islandica","6a","Aulacoseira islandica","Salmaso & Padisak 2007"
"842","Aulacoseira","granulata angustissima","6a","Aulacoseira granulata angustissima","Salmaso & Padisak 2007"
"852","Aulacoseira","italica","6a","Aulacoseira italica","Salmaso & Padisak 2007"
"373","Aulacoseira","ambigua","6a1-LColCent","Aulacoseira ambigua","Li et al. 2018"
"3741","Aulacoseira","granulata","6a1-LColCent","Aulacoseira granulata","Li et al. 2018"
"4231","Aulacoseira","","6a-LargeCent","Aulacoseira","Tolotti et al. 2010"
"1613","Bacillaria","paxillifera","6b1-LColPenn","Bacillaria paxillifera","Western Diatoms of North America"
"257","Bacillariophyceae","","NA","Bacillariophyceae","description"
"1713","Bambusina","borreri","10b-FilaConj","Bambusina borreri","Algaebase"
"1813","Bambusina","delicatissima","10b-FilaConj","Bambusina delicatissima","Algaebase"
"611","Belonastrum","berolinense","6b1-LColPenn","Belonastrum berolinense","Salmaso Geisha Powell Center Workshop"
"214","BG","indiv","NA","BG indiv","description"
"1913","Bicosta","minor","1b-LargeDino","Bicosta minor","Rimet et al. 2018"
"2013","Biecheleria","pseudopalustris","2b-SmallDino","Biecheleria pseudopalustris","Rimet et al. 2018"
"2113","Binuclearia","lauterbornii","10a-FilaChlorp","Binuclearia lauterbornii","Rimet et al. 2018"
"862","Bitrichia","chodatii","2a-SmallChry1","Bitrichia chodatii","Salmaso & Padisak 2007"
"882","blue-green","picoalga, colonial","5c-OtherChroo","blue-green picoalga, colonial","Salmaso & Padisak 2007"
"258","Blue-green","picoalga","NA","Blue-green picoalga","description"
"2213","Borzia","","5a-FilaCyano","Borzia","Rimet et al. 2018"
"2312","Botrydium","","1c-LargeEugl","Botrydium","Rimet et al. 2018"
"902","Botryococcus","braunii","1a-LargeChry","Botryococcus braunii","Salmaso & Padisak 2007"
"2010","Bracchiogonium","","9d-SmallUnic","Bracchiogonium","Salmaso Geisha Powell Center Workshop"
"11","Brachysira","neoexilis","7b-SmallPenn","Brachysira neoexilis","Western Diatoms of North America"
"2413","Bumilleriopsis","closterioides","1c-LargeEugl","Bumilleriopsis closterioides","Algaebase"
"913","C.","cyclopuncta","7a-SmallCent","C. cyclopuncta","Salmaso & Padisak 2007"
"922","C.","krammeri","7a-SmallCent","C. krammeri","Salmaso & Padisak 2007"
"932","C.","gordonensis","7a-SmallCent","C. gordonensis","Salmaso & Padisak 2007"
"942","C.","ocellata","7a-SmallCent","C. ocellata","Salmaso & Padisak 2007"
"952","C.","ps.","7a-SmallCent","C. ps.","Salmaso & Padisak 2007"
"962","C.","pseudocomensis ps.","7a-SmallCent","C. pseudocomensis ps.","Salmaso & Padisak 2007"
"972","C.","psudocomensis","7a-SmallCent","C. psudocomensis","Salmaso & Padisak 2007"
"982","C.","radiosa","7a-SmallCent","C. radiosa","Salmaso & Padisak 2007"
"992","C.","","7a-SmallCent","C.","Salmaso & Padisak 2007"
"1002","C.","tripartita","7a-SmallCent","C. tripartita","Salmaso & Padisak 2007"
"453","Caloneis","","6b2-LUniPenn","Caloneis","Salmaso & Padisak 2007"
"1013","Caloneis","","6b","Caloneis","Salmaso & Padisak 2007"
"12","Calothrix","","5a-FilaCyano","Calothrix","Algaebase"
"13","Calycomonas","pascheri","2a-SmallChry1","Calycomonas pascheri","nordic microalgae"
"14","Campylodiscus","noricus","6b2-LUniPenn","Campylodiscus noricus","Western Diatoms of North America"
"358","Carteria","","3a-UnicPhyto","Carteria","Salmaso Geisha Powell Center Workshop"
"3111","Carteria","","3a-UnicPhyto","Carteria","Salmaso & Padisak 2007"
"3071","Carteria","","3a-UnicPhyto","Carteria","Li et al. 2018"
"4091","Carteria","","3a-UnicPhyto","Carteria","Tolotti et al. 2010"
"244","Centrales","<","7a-SmallCent","Centrales <","description"
"245","Centrales","um","7a-SmallCent","Centrales um","description"
"3192","Centrales","um","6a2-LUniCent","Centrales um","description"
"219","Centric","Diatom","7a-SmallCent","Centric Diatom","description"
"2292","Centric","diatom","7a-SmallCent","Centric diatom","description"
"2562","Centric","Diatoms","NA","Centric Diatoms","description"
"15","Centritractus","belenophorus","1c-LargeEugl","Centritractus belenophorus","Phycokey"
"292","Ceratium","","1b-LargeDino","Ceratium","Salmaso Geisha Powell Center Workshop"
"2210","Ceratium","hirundinella","1b-LargeDino","Ceratium hirundinella","Salmaso Geisha Powell Center Workshop"
"1811","Ceratium","hirundinella","1b-LargeDino","Ceratium hirundinella","Salmaso & Padisak 2007"
"3831","Ceratium","","1b-LargeDino","Ceratium","Li et al. 2018"
"2513","Chaetoceros","","6a1-LColCent","Chaetoceros","Western Diatoms of North America"
"2612","Characiopsis","","8b-LargeUnic","Characiopsis","Algaebase"
"548","Characium","","9b-SmallChlor","Characium","Algaebase"
"2713","Chimonodinium","lomnickii","1b-LargeDino","Chimonodinium lomnickii","Rimet et al. 2018"
"360","Chlamydomonas","","3a-UnicPhyto","Chlamydomonas","Salmaso Geisha Powell Center Workshop"
"1051","Chlamydomonas","","3a-UnicPhyto","Chlamydomonas","Salmaso & Padisak 2007"
"1072","Chlamydomonas",", small","3a-UnicPhyto","Chlamydomonas sp., small","Salmaso & Padisak 2007"
"308","Chlamydomonas","","3a-UnicPhyto","Chlamydomonas","Li et al. 2018"
"4101","Chlamydomonas","","3a-UnicPhyto","Chlamydomonas","Tolotti et al. 2010"
"549","Chlorella","","9b-SmallChlor","Chlorella","Salmaso Geisha Powell Center Workshop"
"1082","Chlorella","","9b-SmallChlor","Chlorella","Salmaso & Padisak 2007"
"3461","Chlorella","vulgaris","9b-SmallChlor","Chlorella vulgaris","Li et al. 2018"
"2813","Chlorocloster","","8b-LargeUnic","Chlorocloster","Algaebase"
"2372","Chlorococcaceae","<","9b-SmallChlor","Chlorococcaceae <","description"
"2432","Chlorococcaceae",">","NA","Chlorococcaceae >","description"
"2912","Chlorogibba","pentagonia","9d-SmallUnic","Chlorogibba pentagonia","Freshwater Algae of North America"
"361","Chlorogonium","elongatum","3a-UnicPhyto","Chlorogonium elongatum","Salmaso Geisha Powell Center Workshop"
"2510","Chlorogonium","","3a-UnicPhyto","Chlorogonium","Salmaso Geisha Powell Center Workshop"
"3012","Chloroidium","ellipsoideum","9b-SmallChlor","Chloroidium ellipsoideum","Li et al. 2018"
"23","Chlorolobion","saxatile","1a-LargeChry","Chlorolobion saxatile","Salmaso Geisha Powell Center Workshop"
"26","Chlorolobion","","1a-LargeChry","Chlorolobion","Salmaso Geisha Powell Center Workshop"
"2710","Chloromonas","rapida","3a-UnicPhyto","Chloromonas rapida","Salmaso Geisha Powell Center Workshop"
"259","Chlorophyceae	indetermined_small","","NA","Chlorophyceae	indetermined_small","description"
"241","Chlorophyta","","NA","Chlorophyta","description"
"263","Chlorophyte","","NA","Chlorophyte","description"
"278","Chlorophyte","ere","NA","Chlorophyte sphere","description"
"3113","Chlorotetraedron","incus","9b-SmallChlor","Chlorotetraedron incus","Rimet et al. 2018"
"551","Chodatella","","9b-SmallChlor","Chodatella","Tsarenko 2011"
"24","Choricystis","chodatii","9b-SmallChlor","Choricystis chodatii","Algaebase"
"25","Choricystis","minor","9b-SmallChlor","Choricystis minor","Algaebase"
"324","Chromophysomonas","serrata","2a-SmallChry1","Chromophysomonas serrata","Algaebase"
"305","Chromulina","aerophyla","2a-SmallChry1","Chromulina aerophyla","Salmaso Geisha Powell Center Workshop"
"306","Chromulina","","2a-SmallChry1","Chromulina","Salmaso Geisha Powell Center Workshop"
"1092","Chromulina","","2a-SmallChry1","Chromulina","Salmaso & Padisak 2007"
"3881","Chromulina","","2a-SmallChry1","Chromulina","Tolotti et al. 2010"
"2602","Chroococcaceae/Synechocystis","(blue-greens <","5d-SmallChroo","Chroococcaceae/Synechocystis (blue-greens <","description"
"2622","Chroococcales","","NA","Chroococcales","description"
"405","Chroococcus","minutus","5d-SmallChroo","Chroococcus minutus","Salmaso Geisha Powell Center Workshop"
"406","Chroococcus","","5d-SmallChroo","Chroococcus","Salmaso Geisha Powell Center Workshop"
"4210","Chroococcus","","5d-SmallChroo","Chroococcus","Salmaso & Padisak 2007"
"1102","Chroococcus","minutus +","5c-OtherChroo","Chroococcus minutus +","Salmaso & Padisak 2007"
"1112","Chroococcus","minutus obliteratus","5d-SmallChroo","Chroococcus minutus obliteratus","Salmaso & Padisak 2007"
"1122","Chroococcus","nagy, laza","5d-SmallChroo","Chroococcus nagy, laza","Salmaso & Padisak 2007"
"1132","Chroococcus","nagy, laza","5c-OtherChroo","Chroococcus nagy, laza","Salmaso & Padisak 2007"
"1142","Chroococcus","","5c-OtherChroo","Chroococcus","Salmaso & Padisak 2007"
"1152","Chroococcus","kicsi, tomott","5d-SmallChroo","Chroococcus sp.kicsi, tomott","Salmaso & Padisak 2007"
"1162","Chroococcus","kicsi, tomott","5c-OtherChroo","Chroococcus sp.kicsi, tomott","Salmaso & Padisak 2007"
"2941","Chroococcus","","5d-SmallChroo","Chroococcus","Li et al. 2018"
"338","Chroomonas","acuta","2d-Crypto","Chroomonas acuta","Salmaso & Padisak 2007"
"1172","Chroomonas","nordstedtii","2d-Crypto","Chroomonas nordstedtii","Salmaso & Padisak 2007"
"307","Chrysamoeba","","2a-SmallChry1","Chrysamoeba","Salmaso & Padisak 2007"
"27","Chrysastrella","furcata","2a-SmallChry1","Chrysastrella furcata","Kapustin et al. 2019"
"332","Chrysidiastrum","catenatum","1a-LargeChry","Chrysidiastrum catenatum","nordic microalgae"
"264","Chrysocapsaceae","","NA","Chrysocapsaceae","description"
"309","Chrysochromulina","","2a-SmallChry1","Chrysochromulina","Salmaso Geisha Powell Center Workshop"
"304","Chrysochromulina","parva","2a-SmallChry1","Chrysochromulina parva","Salmaso Geisha Powell Center Workshop"
"1192","Chrysochromulina","parva","2a-SmallChry1","Chrysochromulina parva","Salmaso & Padisak 2007"
"3921","Chrysochromulina","","2a-SmallChry1","Chrysochromulina","Tolotti et al. 2010"
"310","Chrysococcus","","2a-SmallChry1","Chrysococcus","Salmaso & Padisak 2007"
"2652","Chrysoflagellata","","NA","Chrysoflagellata","description"
"311","Chrysoflagellates","","2a-SmallChry1","Chrysoflagellates","Tolotti et al. 2010"
"3891","Chrysoflagellates","undet.","2a-SmallChry1","Chrysoflagellates undet.","Tolotti et al. 2010"
"341","Chrysogloea","","NA","Chrysogloea","Algaebase"
"352","Chrysoikos","skujae","2a-SmallChry1","Chrysoikos skujae","Rimet et al. 2018"
"1213","Chrysolykos","planktonicus","2a-SmallChry1","Chrysolykos planktonicus","Salmaso & Padisak 2007"
"1222","Chrysophyceae","cysts","9c-SmallChry2","Chrysophyceae cysts","Salmaso & Padisak 2007"
"223","Chrysophyceae","(small)","2a-SmallChry1","Chrysophyceae (small)","description"
"226","Chrysophyceae","(large)","NA","Chrysophyceae (large)","description"
"280","Chrysophyceae","","NA","Chrysophyceae","description"
"266","Chrysophyta","cyst","NA","Chrysophyta cyst","description"
"267","Chrysophyte","","NA","Chrysophyte","description"
"1232","Chrysopora","fenestrata","2a-SmallChry1","Chrysopora fenestrata","Salmaso & Padisak 2007"
"372","Chrysosphaerella","longina","1a-LargeChry","Chrysosphaerella longispina","Algaebase"
"381","Chrysosporum","minus","5e-Nostocales","Chrysosporum minus","Algaebase"
"391","Chrysosporum","ovalirum","5e-Nostocales","Chrysosporum ovalisporum","Algaebase"
"402","Chrysostephanosphaera","globulifera","2a-SmallChry1","Chrysostephanosphaera globulifera","Algaebase"
"412","Cladomonas","fruticulosa","1c-LargeEugl","Cladomonas fruticulosa","Rimet et al. 2018"
"189","Cladophora","","10a-FilaChlorp","Cladophora","Salmaso & Padisak 2007"
"516","Closteriopsis","","8a-LargeCoCh","Closteriopsis","Salmaso Geisha Powell Center Workshop"
"1252","Closteriopsis","longissima","8a-LargeCoCh","Closteriopsis longissima","Salmaso & Padisak 2007"
"3471","Closteriopsis","","8a-LargeCoCh","Closteriopsis","Li et al. 2018"
"518","Closterium","acutum","8a-LargeCoCh","Closterium acutum","Salmaso Geisha Powell Center Workshop"
"519","Closterium","pronum","8a-LargeCoCh","Closterium pronum","Salmaso Geisha Powell Center Workshop"
"520","Closterium","","8a-LargeCoCh","Closterium","Salmaso Geisha Powell Center Workshop"
"5311","Closterium","aciculare","8a-LargeCoCh","Closterium aciculare","Salmaso & Padisak 2007"
"5411","Closterium","acutum variabile","8a-LargeCoCh","Closterium acutum variabile","Salmaso & Padisak 2007"
"5511","Closterium","pronum pronum","8a-LargeCoCh","Closterium pronum pronum","Salmaso & Padisak 2007"
"3551","Closterium","","8a-LargeCoCh","Closterium","Li et al. 2018"
"28","Coccomyxa","littoralis","9b-SmallChlor","Coccomyxa littoralis","Algaebase; Tsarenko 2011"
"501","Cocconeis","","7b-SmallPenn","Cocconeis","Salmaso Geisha Powell Center Workshop"
"1282","Cocconeis","","6b","Cocconeis","Salmaso & Padisak 2007"
"365","Cocconeis","","7b-SmallPenn","Cocconeis","Li et al. 2018"
"4412","Cocconeis","","7b-SmallPenn","Cocconeis","Tolotti et al. 2010"
"202","Coelastrum","","1a-LargeChry","Coelastrum","Salmaso Geisha Powell Center Workshop"
"3","Coelastrum","","1a-LargeChry","Coelastrum","Salmaso & Padisak 2007"
"1292","Coelastrum","astroideum","1a-LargeChry","Coelastrum astroideum","Salmaso & Padisak 2007"
"1302","Coelastrum","indicum","1a-LargeChry","Coelastrum indicum","Salmaso & Padisak 2007"
"3091","Coelastrum","microporum","1a-LargeChry","Coelastrum microporum","Li et al. 2018"
"3101","Coelastrum","","1a-LargeChry","Coelastrum","Li et al. 2018"
"3112","Coelastrum","verrucosum","1a-LargeChry","Coelastrum verrucosum","Li et al. 2018"
"400","Coelosphaerium","","5c-OtherChroo","Coelosphaerium","Salmaso & Padisak 2007"
"1313","Coelosphaerium","kuetzingianum","5c-OtherChroo","Coelosphaerium kuetzingianum","Salmaso & Padisak 2007"
"1322","Coelospharium","kuetzingianum","5c-OtherChroo","Coelospharium kuetzingianum","Salmaso & Padisak 2007"
"29","Coenochloris","hindakii","1a-LargeChry","Coenochloris hindakii","Salmaso Geisha Powell Center Workshop"
"30","Coenochloris","ovalis","1a-LargeChry","Coenochloris ovalis","Salmaso Geisha Powell Center Workshop"
"31","Coenochloris","pyrenoideum minimum","1a-LargeChry","Coenochloris pyrenoideum minimum","Salmaso Geisha Powell Center Workshop"
"32","Coenochloris","pyrenoidosa","1a-LargeChry","Coenochloris pyrenoidosa","Salmaso Geisha Powell Center Workshop"
"33","Coenochloris","","1a-LargeChry","Coenochloris","Salmaso Geisha Powell Center Workshop"
"3510","Coenochloris","","1b-LargeDino","Coenochloris","Salmaso Geisha Powell Center Workshop"
"431","Coenococcus","","1a-LargeChry","Coenococcus","Rimet et al. 2018"
"441","Coenococcus","planctonicus","1a-LargeChry","Coenococcus planctonicus","Rimet et al. 2018"
"3610","Coenocystis","","1b-LargeDino","Coenocystis","Salmaso Geisha Powell Center Workshop"
"1332","Coenocystis","planococca","1b-LargeDino","Coenocystis planococca","Salmaso & Padisak 2007"
"451","Coenodispora","litoralis","9b-SmallChlor","Coenodispora litoralis","Rimet et al. 2018"
"462","Collodictyon","","3a-UnicPhyto","Collodictyon","Algaebase"
"3710","Coronastrum","","1b-LargeDino","Coronastrum","Salmaso Geisha Powell Center Workshop"
"3751","Coscinodiscus","lacustris","6a2-LUniCent","Coscinodiscus lacustris","Li et al. 2018"
"539","Cosmarium","","9a-SmallConj","Cosmarium","Salmaso Geisha Powell Center Workshop"
"5611","Cosmarium","","8a-LargeCoCh","Cosmarium","Salmaso & Padisak 2007"
"1342","Cosmarium","bioculatum","8a-LargeCoCh","Cosmarium bioculatum","Salmaso & Padisak 2007"
"1352","Cosmarium","phaseolus","8a-LargeCoCh","Cosmarium phaseolus","Salmaso & Padisak 2007"
"1362","Cosmarium","reniforme","8a-LargeCoCh","Cosmarium reniforme","Salmaso & Padisak 2007"
"4501","Cosmarium","","8a-LargeCoCh","Cosmarium","Tolotti et al. 2010"
"473","Cosmocladium","","10a-FilaChlorp","Cosmocladium","Algaebase"
"482","Craticula","accomoda","7b-SmallPenn","Craticula accomoda","Rimet et al. 2018"
"491","Craticula","cudata","6b2-LUniPenn","Craticula cuspidata","Rimet et al. 2018"
"502","Craticula","subminuscula","7b-SmallPenn","Craticula subminuscula","Rimet et al. 2018"
"1381","Crucigenia","quadrata","1a-LargeChry","Crucigenia quadrata","Salmaso & Padisak 2007"
"3481","Crucigenia","tetrapedia","1b-LargeDino","Crucigenia tetrapedia","Li et al. 2018"
"517","Crucigenia","","1a-LargeChry","Crucigenia","Algaebase"
"521","Crucigenia","crucifera","1a-LargeChry","Crucigenia crucifera","Algaebase"
"531","Crucigenia","fenestrata","1b-LargeDino","Crucigenia fenestrata","Algaebase"
"205","Crucigeniella","apiculata","1a-LargeChry","Crucigeniella apiculata","Salmaso Geisha Powell Center Workshop"
"4010","Crucigeniella","","1a-LargeChry","Crucigeniella","Salmaso Geisha Powell Center Workshop"
"4100","Crucigeniella","rectangularis","1a-LargeChry","Crucigeniella rectangularis","Salmaso & Padisak 2007"
"340","Cryptomonas","erosa","2d-Crypto","Cryptomonas erosa","Salmaso & Padisak 2007"
"344","Cryptomonas","phaseolus","2d-Crypto","Cryptomonas phaseolus","Salmaso & Padisak 2007"
"348","Cryptomonas","","2d-Crypto","Cryptomonas","Salmaso & Padisak 2007"
"2310","Cryptomonas","ovata","2d-Crypto","Cryptomonas ovata","Salmaso & Padisak 2007"
"2411","Cryptomonas","reflexa","2d-Crypto","Cryptomonas reflexa","Salmaso & Padisak 2007"
"1391","Cryptomonas","erosa/ovata","2d-Crypto","Cryptomonas erosa/ovata","Salmaso & Padisak 2007"
"3991","Cryptomonas","reflexa","2d-Crypto","Cryptomonas reflexa","Tolotti et al. 2010"
"4021","Cryptomonas","marssonii","2d-Crypto","Cryptomonas marssonii","Tolotti et al. 2010"
"4031","Cryptomonas","obovata","2d-Crypto","Cryptomonas obovata","Tolotti et al. 2010"
"4041","Cryptomonas","pyrenoidifera","2d-Crypto","Cryptomonas pyrenoidifera","Tolotti et al. 2010"
"4051","Cryptomonas","rostratiformis","2d-Crypto","Cryptomonas rostratiformis","Tolotti et al. 2010"
"4061","Cryptomonas","","2d-Crypto","Cryptomonas","Tolotti et al. 2010"
"349","Cryptophyceae","","2d-Crypto","Cryptophyceae","Salmaso Geisha Powell Center Workshop"
